Requested URL,Final URL,Performance: Overall Performance Category Score (numeric),Performance: First Contentful Paint (numeric),Performance: Time to Interactive (numeric),Performance: Speed Index (numeric),Performance: Total Blocking Time (numeric),Performance: Largest Contentful Paint (numeric),Performance: Cumulative Layout Shift (numeric),Performance: Max Potential First Input Delay (numeric),Performance: First Meaningful Paint (numeric),Performance: Eliminate render-blocking resources (numeric),Performance: Properly size images (numeric),Performance: Defer offscreen images (numeric),Performance: Minify CSS (numeric),Performance: Minify JavaScript (numeric),Performance: Reduce unused CSS (numeric),Performance: Reduce unused JavaScript (numeric),Performance: Efficiently encode images (numeric),Performance: Serve images in next-gen formats (numeric),Performance: Enable text compression (numeric),Performance: Preconnect to required origins (numeric),Performance: Initial server response time was short (binary),Performance: Avoid multiple page redirects (numeric),Performance: Preload key requests (notApplicable),Performance: Use HTTP/2 (numeric),Performance: Use video formats for animated content (numeric),Performance: Remove duplicate modules in JavaScript bundles (numeric),Performance: Avoid serving legacy JavaScript to modern browsers (numeric),Performance: Preload Largest Contentful Paint image (numeric),Performance: Avoids enormous network payloads (numeric),Performance: Uses efficient cache policy on static assets (numeric),Performance: Avoids an excessive DOM size (numeric),Performance: Avoid chaining critical requests (informative),Performance: User Timing marks and measures (notApplicable),Performance: JavaScript execution time (numeric),Performance: Minimizes main-thread work (numeric),Performance: All text remains visible during webfont loads (binary),Performance: Keep request counts low and transfer sizes small (informative),Performance: Minimize third-party usage (binary),Performance: Lazy load third-party resources with facades (notApplicable),Performance: Largest Contentful Paint element (informative),Performance: Largest Contentful Paint image was not lazily loaded (binary),Performance: Avoid large layout shifts (informative),Performance: Uses passive listeners to improve scrolling performance (binary),Performance: Avoids `document.write()` (binary),Performance: Avoid long main-thread tasks (informative),Performance: Avoid non-composited animations (notApplicable),Performance: Image elements have explicit `width` and `height` (binary),"Performance: Has a `<meta name=""viewport"">` tag with `width` or `initial-scale` (binary)",Performance: Avoids `unload` event listeners (binary),Performance: Performance budget (notApplicable),Performance: Timing budget (notApplicable),Performance: Network Requests (informative),Performance: Network Round Trip Times (informative),Performance: Server Backend Latencies (informative),Performance: Tasks (informative),Performance: Diagnostics (informative),Performance: Metrics (informative),Performance: Screenshot Thumbnails (informative),Performance: Final Screenshot (informative),Performance: Script Treemap Data (informative)
https://tlcdemosite.netlify.app/,https://tlcdemosite.netlify.app/,1,1,1,1,1,1,0.98,1,1,1,0.67,1,1,1,1,0.88,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,-1,1,-1,-1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
https://tlcdemosite.netlify.app/about/,https://tlcdemosite.netlify.app/about/,1,0.99,1,0.99,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,-1,1,0.99,1,-1,1,-1,-1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
https://tlcdemosite.netlify.app/contact/,https://tlcdemosite.netlify.app/contact/,0.99,0.99,1,1,0.98,1,1,0.95,1,1,1,1,1,1,1,0.48,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,-1,0.97,0.96,1,-1,1,-1,-1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
https://tlcdemosite.netlify.app/pricing/,https://tlcdemosite.netlify.app/pricing/,0.96,0.99,0.99,1,0.98,0.99,0.8,0.82,1,1,1,1,1,1,1,0.58,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,-1,1,0.96,1,-1,1,-1,-1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
https://tlcdemosite.netlify.app/privacy-policy/,https://tlcdemosite.netlify.app/privacy-policy/,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
https://tlcdemosite.netlify.app/projects/,https://tlcdemosite.netlify.app/projects/,0.82,0.99,0.98,1,1,0.73,0.24,0.99,1,1,0.88,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,-1,1,0.99,1,-1,1,-1,-1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
https://tlcdemosite.netlify.app/projects/04113440-3ce1-4526-90a7-a923b24d6b6c/,https://tlcdemosite.netlify.app/projects/04113440-3ce1-4526-90a7-a923b24d6b6c/,0.99,1,1,1,1,1,0.92,1,1,1,0.88,1,1,1,1,0.88,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,-1,1,-1,-1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
https://tlcdemosite.netlify.app/projects/0e9229b9-ffa3-47a3-84c6-744de5d4d214/,https://tlcdemosite.netlify.app/projects/0e9229b9-ffa3-47a3-84c6-744de5d4d214/,0.84,0.99,0.96,1,1,0.83,0.24,1,1,1,1,1,1,1,1,0.88,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,-1,1,0.99,1,-1,1,-1,-1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
https://tlcdemosite.netlify.app/projects/247a45ca-95c5-43bc-a4eb-8ce24d59aea6/,https://tlcdemosite.netlify.app/projects/247a45ca-95c5-43bc-a4eb-8ce24d59aea6/,0.86,1,0.99,1,1,0.99,0.09,0.91,1,1,1,1,1,1,1,0.88,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,-1,1,-1,-1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
https://tlcdemosite.netlify.app/projects/4c196b7e-e8a0-4e10-ad5d-9cfdec1e9947/,https://tlcdemosite.netlify.app/projects/4c196b7e-e8a0-4e10-ad5d-9cfdec1e9947/,0.99,1,1,1,1,1,0.96,0.96,1,1,0.75,1,1,1,1,0.58,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,-1,1,-1,-1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
