requestedUrl,finalUrl,category,name,title,type,score
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","performance-score","Overall Performance Category Score","numeric","1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","first-contentful-paint","First Contentful Paint","numeric","1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","interactive","Time to Interactive","numeric","1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","speed-index","Speed Index","numeric","1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","total-blocking-time","Total Blocking Time","numeric","1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","largest-contentful-paint","Largest Contentful Paint","numeric","1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","cumulative-layout-shift","Cumulative Layout Shift","numeric","0.98"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","max-potential-fid","Max Potential First Input Delay","numeric","1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","first-meaningful-paint","First Meaningful Paint","numeric","1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","render-blocking-resources","Eliminate render-blocking resources","numeric","1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","uses-responsive-images","Properly size images","numeric","0.67"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","offscreen-images","Defer offscreen images","numeric","1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","unminified-css","Minify CSS","numeric","1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","unminified-javascript","Minify JavaScript","numeric","1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","unused-css-rules","Reduce unused CSS","numeric","1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","unused-javascript","Reduce unused JavaScript","numeric","0.88"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","uses-optimized-images","Efficiently encode images","numeric","1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","modern-image-formats","Serve images in next-gen formats","numeric","1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","uses-text-compression","Enable text compression","numeric","1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","uses-rel-preconnect","Preconnect to required origins","numeric","1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","server-response-time","Initial server response time was short","binary","1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","redirects","Avoid multiple page redirects","numeric","1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","uses-rel-preload","Preload key requests","notApplicable","-1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","uses-http2","Use HTTP/2","numeric","1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","efficient-animated-content","Use video formats for animated content","numeric","1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","duplicated-javascript","Remove duplicate modules in JavaScript bundles","numeric","1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","legacy-javascript","Avoid serving legacy JavaScript to modern browsers","numeric","1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","preload-lcp-image","Preload Largest Contentful Paint image","numeric","1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","total-byte-weight","Avoids enormous network payloads","numeric","1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","uses-long-cache-ttl","Uses efficient cache policy on static assets","numeric","1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","dom-size","Avoids an excessive DOM size","numeric","1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","critical-request-chains","Avoid chaining critical requests","informative","-1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","user-timings","User Timing marks and measures","notApplicable","-1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","bootup-time","JavaScript execution time","numeric","1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","mainthread-work-breakdown","Minimizes main-thread work","numeric","1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","font-display","All text remains visible during webfont loads","binary","1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","resource-summary","Keep request counts low and transfer sizes small","informative","-1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","third-party-summary","Minimize third-party usage","binary","1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","third-party-facades","Lazy load third-party resources with facades","notApplicable","-1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","largest-contentful-paint-element","Largest Contentful Paint element","informative","-1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","lcp-lazy-loaded","Largest Contentful Paint image was not lazily loaded","binary","1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","layout-shift-elements","Avoid large layout shifts","informative","-1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","uses-passive-event-listeners","Uses passive listeners to improve scrolling performance","binary","1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","no-document-write","Avoids `document.write()`","binary","1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","long-tasks","Avoid long main-thread tasks","informative","-1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","non-composited-animations","Avoid non-composited animations","notApplicable","-1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","unsized-images","Image elements have explicit `width` and `height`","binary","1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","viewport","Has a `<meta name=""viewport"">` tag with `width` or `initial-scale`","binary","1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","no-unload-listeners","Avoids `unload` event listeners","binary","1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","performance-budget","Performance budget","notApplicable","-1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","timing-budget","Timing budget","notApplicable","-1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","network-requests","Network Requests","informative","-1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","network-rtt","Network Round Trip Times","informative","-1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","network-server-latency","Server Backend Latencies","informative","-1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","main-thread-tasks","Tasks","informative","-1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","diagnostics","Diagnostics","informative","-1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","metrics","Metrics","informative","-1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","screenshot-thumbnails","Screenshot Thumbnails","informative","-1"
"https://tlcdemosite.netlify.app/","https://tlcdemosite.netlify.app/","Performance","final-screenshot","Final Screenshot","informative","-1"
